CreatePlatform: True   GetDefaultResolutionDpi: True

ENUM             RES          DPI     PARTNUMBER     CLASS
Unknown          800x480      0       -              <null>
TLP720T          800x480      133.33  60-1395-02     PBTLP720TVPlatform
TLP720M          800x480      133.33  60-1394-02     PBTLP720MVPlatform
TLP720C          800x480      133.33  60-1396-02     PBTLP720CVPlatform
TLP1020T         1024x600     118.0023 60-1393-02     PBTLP1020TVPlatform
TLP1020M         1024x600     118.0023 60-1392-02     PBTLP1020MVPlatform
TLP520M          800x480      188.148 60-1185-02     PBTLP520MVPlatform
VTLPWeb          1920x1080    220     60-sVTLP       PBVTLPWebPlatform
VTLPiOS          1920x1080    220     79-559         PBVTLPiOSPlatform
TLI101           1920x1080    220     60-1083-01     PBTLI100Platform
TLP320M          320x240      113.647 60-1451-02     PBTLP320MPlatform
TLP1520TG        1366x768     100.45  60-1343-02     PBTLP1520TGPlatform
MLC84D           800x480      0       -              <null>
MLC84EU          800x480      0       -              <null>
MLC84MK          800x480      0       -              <null>
TLP320C          320x240      113.647 60-1452-02     PBTLP320CPlatform
TLP1220TG        1280x800     124.75  60-1341-02     PBTLP1220TGPlatform
TLP1220MG        1280x800     124.75  60-1340-02     PBTLP1220MGPlatform
TLP1520MG        1366x768     100.45  60-1342-02     PBTLP1520MGPlatform
TLC521M          800x480      187     60-1284-02     PBTLC521MPlatform
TLP1720TG        1920x1080    127.7   60-1345-02     PBTLP1720TGPlatform
TLP1720MG        1920x1080    127.7   60-1344-02     PBTLP1720MGPlatform
TLP1022T         1024x600     117.51  60-1601-02     PBTLP1022TPlatform
TLP1022M         1024x600     117.51  60-1602-02     PBTLP1022MPlatform
TLP1022W         800x480      0       -              <null>
VTLPAndroid      1280x800     220     79-600-01      PBVTLPAndroidPlatform
TLP725T          1024x600     169.55  60-1562-02     PBTLP725TPlatform
TLP725M          1024x600     169.55  60-1563-02     PBTLP725MPlatform
TLP725C          1024x600     169.55  60-1564-02     PBTLP725CPlatform
TLP1025M         1280x800     149     60-1566-02     PBTLP1025MPlatform
TLP1025T         1280x800     149     60-1565-02     PBTLP1025TPlatform
TLP525C          800x480      186.59  60-1560-02     PBTLP525CPlatform
TLP525M          800x480      186.59  60-1561-02     PBTLP525MPlatform
TLP525T          800x480      186.59  60-1559-02     PBTLP525TPlatform
TLP1225MG        1280x800     124.75  60-1787-02     PBTLP1225MGPlatform
TLP1225TG        1280x800     124.75  60-1788-02     PBTLP1225TGPlatform
TLP1525MG        1366x768     100.45  60-1789-02     PBTLP1525MGPlatform
TLP1525TG        1366x768     100.45  60-1790-02     PBTLP1525TGPlatform
TLP1725MG        1920x1080    127.7   60-1791-02     PBTLP1725MGPlatform
TLP1725TG        1920x1080    127.7   60-1792-02     PBTLP1725TGPlatform
TLC526M          800x480      186.59  60-1853-02     PBTLC526MPlatform
TLC726M          1024x600     169.55  60-1854-02     PBTLC726MPlatform
TLC1026M         1280x800     149     60-1855-02     PBTLC1026MPlatform
TLP300M          480x320      164.83  60-1667-02     PBTLP300MPlatform
TLP1230WTG       800x480      0       60-1668-02     PBTouchPanelPlatformPro
TLI201           1920x1080    220     60-1669-01     PBTLI201Platform
ZRTP725M         1024x600     169.55  60-1563-212    PBZRTP725MPlatform
ZRTP725T         1024x600     169.55  60-1562-212    PBZRTP725TPlatform
ZRTP1025M        1280x800     149     60-1566-212    PBZRTP1025MPlatform
ZRTP1025T        1280x800     149     60-1565-212    PBZRTP1025TPlatform
TLP535M          1280x720     293.72  60-1993-02     PBTLP535MPlatform
TLP535T          1280x720     293.72  60-1994-02     PBTLP535TPlatform
TLP835T          1280x800     188.68  60-1997-02     PBTLP835TPlatform
TLP835M          1280x800     188.68  60-1996-02     PBTLP835MPlatform
TLP835C          1280x800     188.68  60-1995-02     PBTLP835CPlatform
TLP1035M         1280x800     149     60-1999-02     PBTLP1035MPlatform
TLP1035T         1280x800     149     60-1999-02     PBTLP1035TPlatform
TLP1535M         1920x1080    127.7   60-2000-02     PBTLP1535MPlatform
TLP1535T         1920x1080    127.7   60-2001-02     PBTLP1535TPlatform
VTLPEcp          1920x1080    220     60-sVTLPEcp    PBVTLPEcpPlatform
